model name,layer name,compressed accelerator,systolic array,performance gain
ResNet50,layer1.0.conv2,65345616,487710720,7.463557
ResNet50,layer2.3.conv2,132503040,955514880,7.211268
ResNet50,layer3.5.conv2,183140352,1911029760,10.434783
ResNet50,layer4.2.conv2,203710464,2548039680,12.508143
AlexNet,features.3,392370000,2534400000,6.459209
AlexNet,features.6,161838000,1343692800,8.302703
AlexNet,features.10,142456320,1592524800,11.179039
VGG16,features.2,1268047872,7803371520,6.153846
VGG16,features.7,2182505472,15606743040,7.150838
VGG16,features.12,3454617600,31213486080,9.035294
VGG16,features.19,5247369216,61152952320,11.654021